2024-09-17 20:40:45.077 | INFO     | __main__:<module>:27 | starting bot | {}
2024-09-18 07:03:13.644 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065270, 'message_id': 41, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/share', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 07:03:13.756 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065270, 'message_id': 41, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/share', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 112.2}
2024-09-18 07:16:15.686 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-18 07:16:26.033 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065271, 'message_id': 43, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 07:16:27.285 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065271, 'message_id': 43, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 1252.0}
2024-09-18 07:33:06.891 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-18 07:33:09.676 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065272, 'message_id': 45, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 07:34:51.234 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-18 07:34:52.233 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065273, 'message_id': 46, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 07:34:53.441 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065273, 'message_id': 46, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 1208.9}
2024-09-18 07:34:55.122 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065274, 'message_id': 48, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 07:34:55.270 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065274, 'message_id': 48, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 148.0}
2024-09-18 07:34:56.374 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065275, 'message_id': 50, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
